matched_area_clean,total_facilities,beds,cots,operational_norm,anc,art,beoc,blood,caes_sec,ceoc,epi,fp,growm,hbc,hct,ipd,opd,outreach,pmtct,rad_xray,rhtc_rhdc,tb_diag,tb_labs,tb_treat,youth,area_clean,total,population,facilities_per_10k,beds_per_10k,cots_per_10k,operational_count,pct_operational,anc_pct,art_pct,beoc_pct,blood_pct,caes_sec_pct,ceoc_pct,epi_pct,fp_pct,growm_pct,hbc_pct,hct_pct,ipd_pct,opd_pct,outreach_pct,pmtct_pct,rad_xray_pct,rhtc_rhdc_pct,tb_diag_pct,tb_labs_pct,tb_treat_pct,youth_pct
MWALA,51,74.0,25.0,40,0,3,0,0,0,0,0,28,0,34,0,27,0,0,0,0,0,0,0,0,0,MWALA,181896.0,181896.0,2.8037999736112944,4.068258785239917,1.3744117517702423,40,78.43137254901961,0.0,5.88235294117647,0.0,0.0,0.0,0.0,0.0,54.90196078431373,0.0,66.66666666666666,0.0,52.94117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWATATE,26,50.0,7.0,26,0,0,0,0,0,0,0,1,0,17,0,15,0,0,0,0,0,0,0,0,0,MWATATE,81659.0,81659.0,3.1839723729166414,6.1230237940704635,0.8572233311698648,26,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.0,65.38461538461539,0.0,57.692307692307686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWINGI CENTRAL,52,176.0,28.0,40,0,1,0,0,0,0,0,18,0,18,0,17,0,0,0,0,0,0,0,0,0,MWINGI CENTRAL,108713.0,108713.0,4.783236595439368,16.1894161691794,2.5755889360058135,40,76.92307692307693,0.0,1.9230769230769231,0.0,0.0,0.0,0.0,0.0,34.61538461538461,0.0,34.61538461538461,0.0,32.69230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWINGI EAST,39,45.0,27.0,29,0,2,0,0,0,0,0,20,0,20,0,20,0,0,0,0,0,0,0,0,0,MWINGI EAST,85139.0,85139.0,4.580744429697319,5.2854743419584445,3.171284605175067,29,74.35897435897436,0.0,5.128205128205128,0.0,0.0,0.0,0.0,0.0,51.28205128205128,0.0,51.28205128205128,0.0,51.28205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWINGI WEST,25,107.0,46.0,23,0,1,0,0,0,0,0,17,0,17,0,16,0,0,0,0,0,0,0,0,0,,,,,,,23,92.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,68.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAIVASHA,74,425.0,71.0,65,0,10,0,0,0,0,0,40,0,39,0,33,0,0,0,0,0,0,0,0,0,NAIVASHA,355383.0,355383.0,2.082260547071751,11.958928817641812,1.9978445789472203,65,87.83783783783784,0.0,13.513513513513514,0.0,0.0,0.0,0.0,0.0,54.054054054054056,0.0,52.702702702702695,0.0,44.5945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAKURU,112,1061.0,212.0,108,0,10,0,0,0,0,0,47,0,46,0,47,0,0,0,0,0,0,0,0,0,NAKURU,2162202.0,2162202.0,0.5179904560258477,4.907034587887718,0.9804819346203546,108,96.42857142857143,0.0,8.928571428571429,0.0,0.0,0.0,0.0,0.0,41.964285714285715,0.0,41.07142857142857,0.0,41.964285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAKURU NORTH,43,149.0,31.0,42,0,2,0,0,0,0,0,23,0,23,0,17,0,0,0,0,0,0,0,0,0,NAKURU NORTH,218050.0,218050.0,1.9720247649621645,6.833295115799128,1.4216922724145837,42,97.67441860465115,0.0,4.651162790697675,0.0,0.0,0.0,0.0,0.0,53.48837209302325,0.0,53.48837209302325,0.0,39.53488372093023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAMBALE,11,16.0,7.0,11,0,1,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,NAMBALE,111636.0,111636.0,0.9853452291375542,1.4332294242000787,0.6270378730875344,11,100.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,54.54545454545454,0.0,54.54545454545454,0.0,54.54545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NANDI CENTRAL,34,188.0,12.0,30,0,3,0,0,0,0,0,7,0,5,0,17,0,0,0,0,0,0,0,0,0,NANDI CENTRAL,147553.0,147553.0,2.304256775531504,12.74118452352714,0.8132670972464132,30,88.23529411764706,0.0,8.823529411764707,0.0,0.0,0.0,0.0,0.0,20.588235294117645,0.0,14.705882352941178,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
